x,y,z,cluster
39.6102,9.65359,1.02304,0
26.2635,-47.3891,1.51114,0
27.6919,-47.3966,0.775454,0
38.8961,7.83204,-0.941239,0
52.1837,61.4345,2.0426,0
26.4395,-47.5622,-0.0812688,0
-26.5043,89.2348,0.544292,0
-24.7306,89.4977,0.626372,0
-26.3298,91.7289,1.14684,0
27.2464,-48.2119,-0.0666986,0
50.3586,59.1558,1.43657,0
-24.1607,91.1739,1.05945,0
37.9313,8.72972,0.854452,0
49.1169,63.4593,-1.4172,0
-25.3154,90.6253,-1.85484,0
49.2245,60.79,1.64618,0
48.4614,62.0055,-1.56632,0
-26.3228,90.9564,-0.557827,0
-23.9492,88.9742,-0.0601225,0
36.7163,9.79097,1.89055,0
49.7384,60.5065,0.0820969,0
26.8027,-50.2381,-2.50803,0
-26.855,90.4865,1.83099,0
49.4232,61.4022,3.403,0
28.0902,-45.897,-0.0421834,0
-24.0884,90.0709,2.34908,0
-25.1691,89.3271,-1.54068,0
-26.2923,91.0086,0.874664,0
27.1231,-49.6232,-4.19828,0
49.1442,61.0971,-0.883374,0
-25.0317,90.1163,-3.32341,0
49.3638,60.8412,-3.6787,0
26.606,-48.0849,-1.19842,0
50.3679,61.6106,-1.42413,0
38.7327,8.18128,0.26033,0
38.9765,7.81914,0.896612,0
26.0549,-45.876,1.11801,0
27.9282,-47.6621,-0.968081,0
49.1831,61.7335,1.15991,0
49.2975,61.2199,1.68896,0
26.6653,-49.1856,2.82919,0
41.2354,7.4194,0.48492,0
49.2473,61.1766,-1.79656,0
38.8036,8.60411,4.45719,0
39.0007,10.2413,-3.60601,0
-25.4072,90.7943,1.65238,0
40.3402,8.7791,-0.060076,0
-26.0667,90.7994,-2.0634,0
-26.6995,91.45,0.393972,0
48.8185,61.2778,-3.58091,0
26.0379,-47.0575,3.90133,0
-26.3398,89.8903,-1.77429,0
51.5741,61.8649,0.0424529,0
37.4104,7.74659,-0.306482,0
50.6239,62.1223,-0.998997,0
27.7621,-47.4667,-0.989311,0
-24.4124,89.4276,-1.86671,0
38.2342,7.92175,-0.919714,0
50.9533,60.5171,-0.795636,0
-26.7047,90.8291,-3.2342,-1
25.7389,-49.0927,1.06136,0
24.9227,-49.1356,0.0269837,0
-25.5526,89.423,-2.56088,0
39.2611,7.71253,-0.988562,0
26.273,-47.3303,0.340385,0
38.5439,7.04175,-0.449625,0
38.1519,11.0002,0.500855,0
26.5568,-48.4857,0.323216,0
39.728,8.57464,0.0490489,0
50.9586,60.7901,1.74295,0
-28.3332,90.0833,-1.60549,0
26.6015,-47.009,0.744854,0
-23.5273,90.107,2.66396,0
-24.7989,90.3751,-1.17784,0
37.9728,9.7514,0.254116,0
49.7111,61.7046,0.44067,0
-26.5278,91.5841,0.226449,0
26.2911,-48.2356,-0.448674,0
26.3051,-45.6359,0.632131,-1
51.3242,61.0409,1.50883,0
-24.6184,89.0806,0.118755,0
51.1605,61.7006,0.829617,0
27.3268,-48.2834,0.785544,0
26.8032,-49.6323,0.553879,0
-25.8752,91.6928,-1.59249,0
-25.7849,90.4999,1.47155,0
25.789,-47.5164,0.734677,0
26.4413,-48.12,1.26897,0
39.7622,9.1773,-0.974221,0
25.7613,-49.3733,0.182516,0
38.3442,8.18205,3.98181,0
-25.3566,91.5964,0.0225199,0
-24.9811,89.5985,-2.46774,0
39.5155,8.65428,0.223818,0
-25.0277,91.2318,-0.81741,0
-25.5937,89.3344,-0.89767,0
38.872,9.43452,0.462545,0
49.3499,61.4646,0.0218107,0
37.4997,8.61821,1.42577,0
49.4711,60.1559,-0.114454,0
52.1984,61.6567,-0.729167,0
51.0945,61.118,3.04034,0
-24.3102,90.4027,0.319795,0
49.519,61.7381,-0.351685,0
-24.3245,91.7221,-0.405537,0
-25.3261,91.6659,1.12183,0
-24.5051,88.741,2.42971,0
-25.6926,90.5186,-1.99358,0
49.5924,62.1245,1.06377,0
-26.3377,90.357,1.48333,0
26.0134,-48.3879,1.47263,0
50.2432,61.2246,-1.84917,0
36.1387,10.0489,-0.441633,0
-24.2795,88.9467,-1.91623,0
39.4974,10.3573,-1.08594,0
37.4452,8.2631,-0.727785,0
-25.6217,90.4716,1.58552,0
38.7354,5.848,-0.472371,0
50.5174,60.9344,-0.844559,0
50.4471,61.0567,1.18118,0
49.259,60.7746,-0.843726,0
38.9926,9.17782,-0.956478,0
51.3608,61.2524,2.34498,0
49.5592,61.7799,-0.556657,0
40.4587,8.2091,-2.24314,0
-25.8943,89.8001,-0.728579,0
37.011,7.30023,-1.34024,0
48.3181,60.6037,0.988306,0
-27.0795,90.2346,-0.517896,0
37.8001,8.03367,2.75948,0
26.9706,-47.7603,-0.165057,0
39.939,8.44883,4.4342,-1
-24.3535,90.3397,-2.30049,0
25.1369,-46.4653,-0.836904,0
50.7557,60.9517,0.586293,0
50.5247,61.2582,2.65478,0
25.1112,-47.6872,-0.417833,0
25.3713,-48.8862,2.76176,0
50.1414,61.0154,-3.24031,0
27.9764,-47.6174,0.556607,0
50.1282,60.7676,-2.76163,0
-24.3173,90.5867,-1.22572,0
38.7569,7.99803,-0.993612,0
39.5114,9.81644,1.62064,0
26.5606,-46.3033,-1.19371,0
-25.1648,90.6161,1.23669,0
26.4957,-49.0658,1.85958,0
-25.5385,88.628,-1.46669,0
28.8025,-47.0167,-2.84991,0
50.7,60.5701,-4.28101,-1
-24.6181,92.0086,-1.23729,0
49.3556,63.5201,1.66151,-1
51.7679,62.7338,-2.62439,0
39.8705,9.10468,1.05757,0
-25.7689,89.7578,0.56133,0
-26.0014,90.9339,1.30239,0
50.9484,62.4657,-0.377035,0
25.0824,-48.6034,0.422275,0
-27.0053,90.3848,-0.806668,0
-25.6813,89.6499,-0.360478,0
40.5842,8.51176,-1.26601,0
39.0118,8.23572,-0.75257,0
26.9601,-49.2669,2.06022,0
24.8395,-46.8442,-1.21264,0
47.821,61.0919,-0.997346,0
38.0626,6.97466,1.07701,0
37.9992,8.76877,0.833132,0
