x,y,z,cluster
11.0407,12.0313,-0.55061,0
11.4289,10.8803,-0.53084,0
11.8808,10.5046,-0.533679,0
11.9157,10.4059,-0.532278,0
13.0774,11.2796,-0.584435,0
13.0375,11.1065,-0.579295,0
12.1633,10.2337,-0.53501,0
12.2143,10.1493,-0.53447,0
12.2625,10.0627,-0.533823,0
12.8621,10.4233,-0.558734,0
12.8992,10.323,-0.557512,0
13.0274,10.295,-0.560495,0
12.9871,10.1344,-0.555786,0
12.9018,9.94106,-0.5491,0
13.0246,9.9089,-0.551904,0
13.1914,9.90862,-0.556685,0
13.5482,10.0471,-0.569949,0
13.3596,9.78082,-0.558806,0
13.4226,9.70101,-0.55895,0
13.7622,9.5658,-0.566103,0
14.1222,9.31043,-0.571674,0
14.1497,9.20453,-0.570416,0
14.3101,8.81677,-0.567828,0
14.491,8.44481,-0.566534,0
14.6695,7.95631,-0.563515,0
13.882,6.56501,-0.515599,1
14.3638,5.94898,-0.522464,1
14.425,5.8709,-0.523435,1
14.1387,5.65354,-0.510962,1
14.3741,5.44294,-0.516102,1
14.4306,5.36334,-0.517,1
14.6826,5.25284,-0.524154,1
14.7796,5.18548,-0.526634,1
14.78,5.08397,-0.525448,1
14.9781,4.54289,-0.526239,1
15.0411,4.46142,-0.527569,1
16.0771,3.60953,-0.55593,1
16.1761,3.52764,-0.55877,1
16.1613,3.42066,-0.55744,1
16.1037,3.09994,-0.553126,1
16.3877,3.05044,-0.562832,1
16.5822,2.98148,-0.569266,1
16.7371,2.90342,-0.574263,1
16.657,2.78436,-0.570704,1
16.6313,2.67528,-0.569158,1
16.6563,2.57455,-0.569482,1
16.8478,2.49839,-0.57588,1
16.839,2.3916,-0.575017,1
16.8762,2.29132,-0.575844,1
16.9741,2.19864,-0.5789,1
17.1361,2.11279,-0.584292,1
17.2341,2.01759,-0.587383,1
17.416,1.93063,-0.59353,1
17.6581,1.84786,-0.601869,1
17.7129,1.74379,-0.603451,1
17.9163,1.65287,-0.610424,1
18.0725,1.55551,-0.615708,1
18.0637,1.44315,-0.615061,1
18.0932,1.33383,-0.615816,1
18.0681,1.22057,-0.61463,1
18.164,1.11513,-0.617829,1
18.1765,1.00399,-0.618045,1
18.2103,0.893809,-0.619051,1
18.2773,0.784712,-0.62128,1
18.3088,0.673541,-0.62225,1
17.2839,-2.3482,-0.590654,2
17.2356,-2.44943,-0.589432,2
