x,y,z,cluster
8.25625,14.5729,-0.565707,-2
10.1908,16.3119,-0.655069,0
10.3083,16.2769,-0.656255,0
10.5186,16.3858,-0.663624,0
9.73496,14.9623,-0.60532,0
10.6249,16.1128,-0.657478,0
10.2643,15.3602,-0.62775,0
10.6929,15.7909,-0.64921,0
10.2858,14.9908,-0.617182,0
10.3782,14.9282,-0.617218,0
11.0174,15.6421,-0.651439,0
10.8154,15.1568,-0.632998,0
10.9515,15.1501,-0.635658,0
11.1523,15.2302,-0.642237,0
11.1777,15.07,-0.638139,0
11.4999,15.3071,-0.651906,0
11.6983,15.3739,-0.658125,0
11.3184,14.6867,-0.630195,0
11.8971,15.2433,-0.658772,0
11.01,13.9297,-0.601905,0
11.0878,13.8526,-0.601474,0
12.3972,15.295,-0.671425,0
12.1332,14.783,-0.651151,0
12.7181,15.3031,-0.678973,0
12.4617,14.8089,-0.659419,0
12.9095,15.1512,-0.679225,0
12.8631,14.9106,-0.671568,0
12.5869,14.4106,-0.651475,0
13.1511,14.8714,-0.67732,0
13.3214,14.879,-0.681597,0
13.3114,14.1531,-0.662115,0
13.3987,14.0718,-0.662151,0
14.842,12.1794,-0.653847,-2
14.8676,12.0485,-0.651582,-2
14.9443,11.9595,-0.651726,-2
16.6456,8.8963,-0.642129,-2
16.6884,8.78795,-0.641661,-2
15.301,3.53406,-0.528108,-2
5.7053,16.899,-0.826028,-2
5.81376,16.8778,-0.826753,-2
6.02663,16.1937,-0.799061,-2
6.16589,16.2619,-0.804522,-2
6.97971,18.0734,-0.900451,-2
6.35244,15.8666,-0.789976,1
6.0811,14.9226,-0.742712,1
6.16146,14.8583,-0.741311,1
6.20398,14.7052,-0.73527,1
6.26653,14.6026,-0.731887,1
6.53963,14.7373,-0.743147,1
6.62255,14.6805,-0.742277,1
6.64923,14.5016,-0.734932,1
6.42243,12.9433,-0.662152,-2
6.48959,12.8795,-0.660847,-2
7.95509,13.0776,-0.703664,0
7.99534,12.9639,-0.699991,0
8.08479,12.9307,-0.70091,0
8.1597,12.8741,-0.700523,0
8.29306,12.9087,-0.705404,0
8.42116,12.9329,-0.709753,0
8.53336,12.931,-0.712653,0
8.70193,13.0121,-0.720434,0
8.81522,13.008,-0.723333,0
8.89996,12.9611,-0.723768,0
8.93312,12.8398,-0.719854,0
9.02555,12.8044,-0.721014,0
9.09988,12.7431,-0.720675,0
9.16385,12.6676,-0.719515,0
9.29276,12.6812,-0.72372,0
9.43588,12.7122,-0.729036,0
9.53591,12.6836,-0.730824,0
9.72367,12.7695,-0.739619,0
9.83783,12.7562,-0.742471,0
10.0426,12.8578,-0.752426,0
10.156,12.8398,-0.755132,0
10.3114,12.8731,-0.761076,0
10.409,12.8329,-0.762526,0
10.5725,12.8722,-0.769002,0
10.6647,12.8232,-0.770017,0
10.8307,12.8615,-0.776589,0
10.934,12.8237,-0.778426,0
11.0556,12.8062,-0.781615,0
11.2917,12.9187,-0.793214,0
11.4601,12.9501,-0.799738,0
11.596,12.9428,-0.803846,0
11.6691,12.8647,-0.803411,0
11.6958,12.7362,-0.79969,0
11.7473,12.6357,-0.797805,0
11.7883,12.5248,-0.795244,0
11.8194,12.4045,-0.792054,0
11.8655,12.3009,-0.789976,0
11.9226,12.2092,-0.788719,0
11.9777,12.116,-0.787366,0
12.0285,12.0189,-0.785771,0
12.0743,11.9176,-0.783887,0
12.1093,11.8063,-0.781325,0
12.1599,11.711,-0.779876,0
12.2011,11.6072,-0.777846,0
12.2452,11.5068,-0.776058,0
12.2811,11.3995,-0.773786,0
12.3288,11.3037,-0.772337,0
12.3787,11.2104,-0.77108,0
12.4271,11.1163,-0.769775,0
12.4674,11.0153,-0.767987,0
12.5204,10.9262,-0.767069,0
12.5721,10.8361,-0.766102,0
12.6262,10.7484,-0.765329,0
12.6866,10.6662,-0.764991,0
12.9316,10.7375,-0.776299,0
13.2366,10.8543,-0.791281,0
13.5064,10.9376,-0.803942,0
13.9234,11.1346,-0.825641,0
13.0534,5.68425,-0.651906,-2
13.088,5.60404,-0.651906,-2
12.4892,0.838976,-0.568687,-2
2.99732,13.3345,-0.786819,2
3.63095,13.4296,-0.801562,2
3.63441,13.1223,-0.78375,2
3.77996,13.3293,-0.798132,2
3.87252,13.3432,-0.800479,2
3.95176,13.3106,-0.799938,2
3.93187,12.9518,-0.778875,2
4.02517,12.9722,-0.781704,2
4.11163,12.9692,-0.783088,2
4.20005,12.9712,-0.784833,2
4.31152,13.0419,-0.790971,2
4.37933,12.9792,-0.788684,2
4.46864,12.9804,-0.79049,2
5.15747,11.8237,-0.740542,-2
9.14953,10.4717,-0.801201,3
9.16269,10.3578,-0.796568,3
9.20742,10.2806,-0.794883,3
9.24149,10.1921,-0.792295,3
9.30723,10.1389,-0.792596,3
9.37946,10.0925,-0.793499,3
9.42548,10.0181,-0.792114,3
9.46474,9.93692,-0.790189,3
9.51999,9.87291,-0.789707,3
9.56575,9.79931,-0.788444,3
9.62078,9.73546,-0.788022,3
9.67681,9.67272,-0.787722,3
9.72461,9.60194,-0.786759,3
9.77977,9.53861,-0.786458,3
9.8489,9.48881,-0.78736,3
10.0147,9.53073,-0.796327,3
10.2483,9.63386,-0.81083,3
10.4366,9.69102,-0.821481,3
10.6953,9.80964,-0.837789,3
10.9077,9.88188,-0.850186,3
9.98246,2.49833,-0.583238,-2
9.34881,-1.27161,-0.531666,-2
2.5402,11.974,-0.855114,-2
2.70883,12.0393,-0.862386,-2
2.77658,11.9962,-0.860422,-2
4.21771,7.65474,-0.599881,-2
8.00498,8.71652,-0.825519,-2
8.11875,8.73225,-0.83199,-2
3.46097,-6.67852,-0.511095,-2
3.44579,-6.75026,-0.515239,-2
3.48199,-6.71712,-0.603134,-2
3.44751,-6.75167,-0.6044,-2
6.01922,1.23141,-0.561448,-2
5.40666,-1.93882,-0.522429,-2
4.44364,7.20563,-0.887735,-2
6.01742,1.23317,-0.633718,-2
6.0278,1.19681,-0.634044,-2
5.39713,-1.93323,-0.588937,-2
6.01612,1.26929,-0.711401,-2
5.99365,1.22618,-0.70765,-2
6.00788,1.19073,-0.708497,-2
5.3836,-1.89336,-0.657555,-2
5.38776,-1.93205,-0.659612,-2
5.35996,-1.95928,-0.657555,-2
5.38067,-1.92628,-0.727304,-2
2.00685,-1.64903,-0.562688,4
1.99819,-1.66255,-0.56314,4
1.97678,-1.66537,-0.55975,4
1.99521,-1.6406,-0.592518,4
1.97764,-1.6466,-0.590139,4
1.96452,-1.6562,-0.589188,4
1.9757,-1.60265,-0.612949,4
1.9823,-1.62827,-0.61842,4
1.96482,-1.63421,-0.615933,4
1.95624,-1.64748,-0.61643,4
1.98898,-1.63664,-0.653128,4
1.97297,-1.64387,-0.651048,4
1.96284,-1.65595,-0.651048,4
2.06576,-1.76449,-0.691087,4
2.32604,-1.86404,-0.798357,4
2.24068,-1.79856,-0.803192,4
1.97642,-1.64732,-0.714976,4
1.54455,1.45039,-0.607169,5
1.55482,1.44219,-0.607754,5
1.54813,1.41841,-0.601318,5
2.1801,-1.72581,-0.809606,4
2.06951,-1.65899,-0.770406,4
2.06226,-1.67407,-0.771576,4
1.98547,-1.63203,-0.745247,4
1.98644,-1.65336,-0.749635,4
2.02524,-1.70681,-0.769236,4
2.02928,-1.73163,-0.775086,4
1.52725,1.4495,-0.629165,5
1.5257,1.43032,-0.624614,5
