x,y,z
14.2826,6.64753,-0.529905
19.8766,2.07997,-0.682101
19.8432,1.95346,-0.680447
19.8001,1.82662,-0.67847
19.7581,1.70056,-0.676565
19.7184,1.57531,-0.674768
19.6818,1.45091,-0.673114
19.6545,1.3277,-0.67182
19.6204,1.2045,-0.67031
19.5226,1.07831,-0.666536
19.5209,0.958107,-0.666248
19.4924,0.836855,-0.665026
19.4573,0.715767,-0.663588
19.4313,0.595448,-0.66251
19.3936,0.475206,-0.661036
19.3562,0.355467,-0.659598
19.3071,0.23607,-0.657765
19.2552,0.117279,-0.65586
14.4308,13.0691,-0.905042
14.3775,12.8611,-0.896391
14.3154,12.6483,-0.887306
14.3461,12.5195,-0.88431
14.3697,12.3856,-0.880927
14.3823,12.2435,-0.876916
14.3738,12.0849,-0.871648
14.3977,11.955,-0.868507
14.3604,11.7759,-0.861596
14.3928,11.6555,-0.859132
14.4078,11.522,-0.855652
14.4289,11.3944,-0.852607
14.4198,11.2442,-0.847775
14.4133,11.0977,-0.843184
14.3961,10.9443,-0.838013
14.4006,10.809,-0.834243
14.4338,10.6961,-0.832262
14.3774,10.5182,-0.824964
14.3874,10.3906,-0.821727
14.4054,10.2697,-0.81902
14.4069,10.138,-0.815396
14.4023,10.0032,-0.811481
14.4074,9.87628,-0.808195
14.4024,9.74347,-0.804377
14.4088,9.61942,-0.801284
14.3993,9.35967,-0.793987
14.4043,9.2377,-0.790991
12.2704,7.65811,-0.662876
12.0151,6.79993,-0.631029
12.7177,5.81881,-0.639728
12.4502,4.36297,-0.601356
12.4522,4.27805,-0.6001
11.9967,-2.69925,-0.558007
11.9604,-2.76831,-0.557041
9.40608,-6.37466,-0.512822
2.12142,9.17486,-0.530583
2.58112,9.78494,-0.572948
2.70469,10.004,-0.587631
2.76629,9.98822,-0.587692
2.83814,10.0085,-0.590039
2.89338,9.96981,-0.588715
2.97637,10.0256,-0.593348
3.05059,10.0491,-0.595996
3.11663,10.0445,-0.596899
3.18454,10.0452,-0.598162
3.26273,10.0767,-0.601412
3.4834,10.1188,-0.608032
3.6386,10.1627,-0.613628
6.51932,6.67868,-0.525528
7.34941,7.16832,-0.581794
8.88117,7.65775,-0.669834
8.81855,7.50992,-0.661168
8.07821,6.30168,-0.580531
10.4095,4.61168,-0.649253
10.3799,3.85589,-0.630418
10.4727,3.81742,-0.634871
10.4471,3.73561,-0.631742
12.8477,3.21532,-0.761304
10.6225,-0.262926,-0.603458
10.6087,-0.327729,-0.602736
8.64444,-3.39758,-0.52282
3.66737,-9.01494,-0.549599
3.60643,-9.02337,-0.548697
2.13988,10.0861,-0.714409
2.2589,10.0387,-0.712882
2.12644,9.18606,-0.650128
2.213,9.29995,-0.659653
2.29369,9.38308,-0.666925
2.51307,9.7599,-0.697466
2.64493,10.0172,-0.718044
2.71234,10.0229,-0.719717
2.77086,9.99552,-0.718917
2.84411,10.0205,-0.722116
2.90582,10.0039,-0.722189
2.98447,10.0442,-0.726625
3.05126,10.0428,-0.727934
3.12525,10.0639,-0.730988
3.25835,10.0552,-0.733315
3.32123,10.0388,-0.733606
4.67264,6.98607,-0.575448
5.97728,4.71936,-0.51793
9.58339,3.29217,-0.701465
9.68753,3.26164,-0.707937
9.72252,3.20714,-0.7091
9.81698,3.17165,-0.714845
8.65421,-3.34279,-0.639075
8.61962,-3.39036,-0.637984
2.69726,9.96967,-0.837018
2.76982,9.99422,-0.840646
2.83681,9.99717,-0.842418
2.9006,9.98818,-0.843177
2.96467,9.97975,-0.844021
3.03135,9.97949,-0.845624
5.38418,4.8166,-0.574194
5.42857,4.79667,-0.575882
6.31821,3.73141,-0.583813
7.76579,3.2693,-0.675949
7.79307,3.22464,-0.676624
7.89578,3.21053,-0.684217
8.11521,3.24186,-0.702442
8.3627,3.1635,-0.71957
8.46042,3.14126,-0.726657
6.77432,1.60623,-0.552004
6.75686,1.55837,-0.549642
2.49355,7.85359,-0.76586
2.70662,7.85119,-0.772169
2.82626,7.88297,-0.778964
2.27967,5.89779,-0.578919
2.31363,5.87813,-0.578337
3.28976,7.53302,-0.763919
3.42217,7.22348,-0.741789
3.52511,7.32432,-0.754989
3.57435,7.31149,-0.75596
3.77758,7.49283,-0.780614
4.05798,6.5761,-0.715874
4.11937,6.58483,-0.719756
3.88558,4.97188,-0.577658
3.98709,4.91266,-0.579308
4.75624,4.86789,-0.625994
5.68348,4.15554,-0.648901
5.97095,3.87889,-0.656666
6.05316,3.7757,-0.658025
7.4063,3.11554,-0.745866
7.52552,3.1115,-0.756445
6.74854,1.59791,-0.638612
6.75821,1.55647,-0.638612
6.04805,-1.47998,-0.569504
6.01858,-1.51198,-0.567466
3.08091,4.54686,-0.562633
3.65487,4.92442,-0.632631
4.05287,4.52398,-0.626218
4.07721,4.49535,-0.625675
4.54392,4.54071,-0.664479
4.51268,4.13786,-0.631545
4.76791,4.16117,-0.654044
6.44137,3.14097,-0.745673
6.72833,1.59533,-0.718173
6.74284,1.55514,-0.718717
5.9959,-1.46508,-0.636979
5.9868,-1.50185,-0.636979
2.91342,4.41177,-0.60637
2.93491,4.38556,-0.60516
2.96622,4.37404,-0.606128
2.99525,4.35903,-0.606612
3.03344,4.245,-0.5979
3.13929,4.28112,-0.609032
5.46931,3.2731,-0.738869
5.67306,3.11739,-0.750969
5.85687,3.07945,-0.768514
6.00416,-1.46925,-0.715394
5.99792,-1.50679,-0.715757
1.95625,4.80375,-0.656535
2.03223,4.73869,-0.652419
2.05295,4.70705,-0.649631
2.3124,4.19978,-0.603956
2.33233,4.17513,-0.602363
3.53826,3.95102,-0.672202
5.12696,3.07177,-0.762357
5.20118,3.07302,-0.770987
5.3468,3.07116,-0.787717
5.4078,3.06222,-0.794223
5.50092,3.07052,-0.805642
2.30272,4.1764,-0.660654
2.64691,4.06201,-0.672258
3.19278,3.6958,-0.677479
4.3742,3.11626,-0.748842
2.84339,3.59658,-0.689111
2.87096,3.58601,-0.690522
2.86367,3.53227,-0.683153
4.0634,3.05141,-0.767971
2.05748,3.78459,-0.697455
3.68432,3.05596,-0.779341
4.41033,2.98046,-0.871
2.41624,3.38294,-0.721672
2.41966,3.34414,-0.716272
3.6369,3.01916,-0.825895
3.66753,3.00676,-0.828775
3.90458,3.00564,-0.862615
3.95428,3.00543,-0.869816
2.96606,3.03401,-0.790099
2.9998,3.0311,-0.794319
3.03154,3.02581,-0.797964
3.06472,3.02163,-0.801992
3.24087,3.00496,-0.824629
3.32407,3.00711,-0.836907
3.51043,2.98514,-0.861462
3.56174,2.99132,-0.869903
2.40585,3.07751,-0.770212
2.40341,3.03582,-0.763109
2.43241,3.03401,-0.766559
2.93712,3.00504,-0.831506
2.96859,3.00019,-0.835362
3.00288,2.99782,-0.84003
3.2974,2.9835,-0.882245
3.36947,2.93775,-0.887116
1.74195,3.20514,-0.76373
1.76347,3.19781,-0.764591
2.22327,3.03134,-0.788249
2.25172,3.03098,-0.791905
2.27439,3.02257,-0.793411
2.29821,3.01555,-0.795346
2.32503,3.01221,-0.798357
2.81325,2.9867,-0.863956
2.84567,2.98422,-0.868472
2.87952,2.98287,-0.873419
1.89266,3.02542,-0.787981
1.91901,3.02609,-0.791371
1.94071,3.01917,-0.792727
1.96345,3.01374,-0.794534
1.98513,3.00651,-0.79589
2.00895,3.00237,-0.79815
2.19478,2.99346,-0.821199
2.2253,2.99636,-0.825944
2.25302,2.9951,-0.82956
