x,y,z
13.5458,7.23967,-0.515706
13.8057,7.27003,-0.524477
14.8873,4.51534,-0.522824
14.9473,4.43357,-0.524046
15.1892,4.40411,-0.532098
14.9551,4.13797,-0.521386
15.0834,4.07401,-0.525232
15.225,4.01219,-0.529582
15.2542,3.91994,-0.529761
15.3817,3.85225,-0.533608
15.3944,3.75519,-0.533212
15.423,3.66205,-0.533428
15.4597,3.57072,-0.533967
15.5184,3.48411,-0.535333
17.0096,3.16619,-0.585586
17.0524,3.06601,-0.586448
17.1191,2.96969,-0.58821
17.3578,2.90149,-0.596262
17.767,2.85793,-0.610532
16.0811,1.38415,-0.543816
16.0903,1.28553,-0.543852
13.0028,-9.27827,-0.537813
12.7674,-9.22907,-0.529905
12.9105,-9.45367,-0.53882
7.70053,10.7832,-0.604159
7.72792,10.6823,-0.60097
8.44363,9.78027,-0.588212
8.51663,9.74332,-0.589178
8.61067,9.72978,-0.591691
8.7082,9.71917,-0.594446
8.79653,9.69737,-0.596524
9.05312,9.85804,-0.610635
9.18824,9.88278,-0.615951
9.2891,9.86913,-0.618802
9.53224,9.88165,-0.627356
9.66526,9.8973,-0.632382
9.74477,9.85699,-0.633687
9.84534,9.83726,-0.636442
12.002,11.7017,-0.774076
12.1002,11.6535,-0.775864
12.2084,11.6141,-0.778329
12.3194,11.5766,-0.780987
12.4297,11.5375,-0.783597
10.5292,7.12279,-0.578111
11.8194,7.78603,-0.647847
11.8434,7.5951,-0.643787
10.7258,6.78577,-0.577145
11.0215,6.8785,-0.591643
11.4197,3.92324,-0.547279
11.4341,3.84991,-0.546795
13.1696,3.03661,-0.616966
9.25371,-8.08874,-0.557717
9.19717,-8.13941,-0.557282
3.95035,8.48227,-0.526973
4.0953,8.38659,-0.525528
4.1214,8.31033,-0.522098
4.09598,8.13333,-0.511868
4.13354,8.08405,-0.510243
8.56083,11.5378,-0.829003
8.62067,11.4707,-0.82792
8.6794,11.4025,-0.826777
8.65961,11.2328,-0.817931
8.512,10.2387,-0.765576
8.26031,9.81287,-0.736149
8.31713,9.7582,-0.735849
8.39315,9.72588,-0.737353
7.96849,6.95654,-0.60057
8.06545,6.95445,-0.604902
8.54743,7.18904,-0.636195
8.55606,7.10712,-0.633426
8.18404,4.63406,-0.529861
8.17048,4.56041,-0.526973
8.15983,4.48902,-0.524325
8.14861,4.41793,-0.521677
8.13947,4.34857,-0.51921
8.15451,4.2925,-0.518427
8.2507,4.27868,-0.523181
8.29547,4.23751,-0.524445
11.0851,1.22701,-0.635232
11.0596,1.15555,-0.633246
10.9465,-1.69476,-0.630658
3.93991,8.45426,-0.642711
3.95886,8.36051,-0.637111
4.00749,8.33067,-0.636675
4.0918,8.37403,-0.642202
4.14665,8.35592,-0.642783
4.07983,8.09606,-0.623659
4.13216,8.0762,-0.624095
4.1775,8.04273,-0.623441
4.28293,8.00405,-0.624532
6.43076,8.12949,-0.718408
9.5024,2.87792,-0.686558
5.55215,-6.68755,-0.596391
3.88789,8.47988,-0.752391
3.95584,8.35588,-0.745304
3.9971,8.3108,-0.743363
4.0524,8.29507,-0.744207
4.12713,8.31825,-0.748763
3.48177,6.91083,-0.617731
4.16932,8.02864,-0.728513
5.09618,4.28497,-0.52627
5.12391,4.25489,-0.526439
5.05583,4.04348,-0.510661
8.10893,2.89805,-0.691642
8.33518,2.86404,-0.70877
2.7054,6.99981,-0.694132
3.01172,7.1336,-0.717427
3.04601,7.09304,-0.715097
3.0162,6.90638,-0.697238
2.60871,5.87434,-0.589111
3.11547,6.9015,-0.700732
3.94527,8.59931,-0.884955
3.24938,6.75122,-0.692967
3.62859,6.58249,-0.695296
4.51115,4.34209,-0.572902
4.65454,4.42545,-0.588626
4.64969,4.36682,-0.584355
4.64065,4.30503,-0.579599
4.64644,4.25765,-0.576881
4.61566,4.17762,-0.569407
4.62786,4.13728,-0.56766
5.02586,4.27597,-0.605805
5.08172,4.27003,-0.609591
4.62344,3.78898,-0.545239
4.92817,3.98851,-0.580569
