x,y,z,cluster
15.3706,-4.0519,-0.53501,0
15.6031,-4.21574,-0.544607,0
15.7887,-4.57935,-0.554564,0
15.333,-4.54935,-0.538532,0
15.323,-4.64886,-0.539215,0
15.3037,-4.74575,-0.539575,0
15.2276,-4.82477,-0.537813,0
15.1996,-4.91873,-0.537885,0
15.1672,-5.01127,-0.537813,0
15.051,-5.0755,-0.534578,0
15.1301,-5.2058,-0.538784,0
15.0555,-5.28365,-0.537166,0
14.9353,-5.34461,-0.533823,0
14.8629,-5.5254,-0.533608,0
14.7092,-5.67464,-0.530336,0
14.7196,-5.78269,-0.532098,0
14.2193,-6.72595,-0.529042,1
14.2751,-6.85982,-0.532925,1
14.2363,-6.94904,-0.533068,1
14.0792,-7.30553,-0.533787,1
14.394,-7.58133,-0.548417,1
14.4212,-7.70908,-0.551437,1
14.2691,-7.74072,-0.547159,1
14.3194,-7.8821,-0.551185,1
14.0753,-7.86066,-0.543133,1
14.3216,-8.11388,-0.555319,1
14.23,-8.1777,-0.553594,1
14.9341,-8.70472,-0.58501,1
14.7522,-8.72041,-0.579654,1
15.2025,-9.1129,-0.600791,1
14.9908,-9.11154,-0.594249,1
14.8751,-9.16664,-0.591732,1
14.8499,-9.27734,-0.593062,1
15.2098,-9.63242,-0.61082,1
15.5322,-9.97067,-0.627139,1
15.4866,-10.0761,-0.627822,1
15.7708,-10.3993,-0.64274,1
16.206,-10.8296,-0.664343,-2
12.8487,-10.9475,-0.570416,-2
9.72077,-12.9413,-0.545434,-2
6.19775,-16.3676,-0.592775,-2
6.73324,-18.1167,-0.658448,-2
6.59833,-18.0929,-0.655968,-2
5.01191,10.2577,-0.515431,2
5.13246,10.3431,-0.521714,2
5.31582,10.5495,-0.534617,2
5.48915,10.7293,-0.546167,2
5.69988,10.9746,-0.56139,2
5.84442,11.0861,-0.569412,2
6.04896,11.3054,-0.583427,2
6.13728,11.3032,-0.58536,2
7.77789,9.58861,-0.560424,-2
19.5616,-0.367688,-0.909681,3
19.4838,-0.605482,-0.906202,3
19.3779,-0.721238,-0.901272,3
12.6756,-0.628029,-0.577096,4
19.3723,-1.07841,-0.901804,3
12.3768,-0.765612,-0.563033,4
19.3157,-1.31321,-0.899774,3
19.1968,-1.42351,-0.89441,3
19.0742,-1.53217,-0.888901,3
18.9937,-1.64307,-0.88547,3
18.9505,-1.75654,-0.883875,3
12.9058,-1.27654,-0.590531,4
12.7766,-1.34298,-0.584635,4
12.5556,-1.39772,-0.574293,4
13.3186,-1.56537,-0.611892,4
12.6664,-1.56763,-0.580576,4
13.5411,-1.76022,-0.623732,4
13.4162,-1.82778,-0.618174,4
12.5889,-1.79389,-0.578305,4
13.3967,-1.99287,-0.618367,4
13.781,-2.13651,-0.637795,4
13.5349,-2.18351,-0.62639,4
13.4021,-2.24655,-0.620542,4
13.1411,-2.28579,-0.608412,4
13.7412,-2.47708,-0.638616,4
13.6393,-2.54523,-0.634364,4
13.289,-2.56437,-0.617884,4
13.1839,-2.6281,-0.613486,4
13.142,-2.70371,-0.61223,4
12.7912,-3.37705,-0.603144,4
12.6941,-3.43487,-0.599327,4
12.6044,-3.49376,-0.595895,4
12.5818,-3.57076,-0.595847,4
12.6345,-3.66961,-0.599617,4
12.5993,-3.74337,-0.598988,4
12.5598,-3.81568,-0.598167,4
12.5047,-3.8829,-0.596572,4
12.4521,-3.95049,-0.595122,4
12.3772,-4.01051,-0.592561,4
11.712,-4.77299,-0.57497,-2
12.9293,-7.54243,-0.687281,-2
13.1914,-7.80418,-0.704631,1
8.44653,-8.24874,-0.534279,-2
7.5337,-11.5906,-0.631899,-2
2.9062,9.7892,-0.578484,2
2.97027,9.78455,-0.579327,2
3.01694,9.72325,-0.576619,2
3.04999,9.62082,-0.571323,2
3.10159,9.57913,-0.569879,2
3.14746,9.52106,-0.567412,2
3.19816,9.47887,-0.565968,2
3.25236,9.44774,-0.565245,2
3.29042,9.3711,-0.561635,2
3.34786,9.35074,-0.561635,2
3.39936,9.31408,-0.560612,2
3.45192,9.28088,-0.559829,2
3.49819,9.23152,-0.558024,2
3.55872,9.22013,-0.558686,2
3.61596,9.19998,-0.558806,2
3.69459,9.23322,-0.562417,2
3.7636,9.24088,-0.564403,2
3.8294,9.23975,-0.565847,2
3.8996,9.24827,-0.567953,2
3.97123,9.25903,-0.57024,2
4.0571,9.30128,-0.574633,2
4.16145,9.38296,-0.581674,2
4.22099,9.3618,-0.581975,2
4.28002,9.33936,-0.582215,2
4.98671,10.2119,-0.647989,2
5.17922,10.4431,-0.665621,2
5.34917,10.6215,-0.679823,2
5.47787,10.7129,-0.688248,2
5.61709,10.8208,-0.697877,2
5.8858,11.1703,-0.724054,2
6.03332,11.2819,-0.734164,2
6.15433,11.3403,-0.740723,2
4.75612,8.63721,-0.557302,2
4.74963,8.50155,-0.54996,2
4.76183,8.40191,-0.545086,2
4.78444,8.32234,-0.541596,2
5.59768,7.64201,-0.533953,2
5.67778,7.65241,-0.537323,2
5.74741,7.64775,-0.53961,2
5.91092,7.66756,-0.54653,2
6.25518,8.01194,-0.575656,2
7.79161,9.6097,-0.708709,-2
10.3019,1.65545,-0.591904,-2
15.4289,2.38211,-0.904045,-2
10.6728,1.24773,-0.610679,-2
15.3145,1.69502,-0.891768,-2
15.3008,1.59853,-0.890324,-2
9.0817,-0.840042,-0.51271,-2
9.05054,-0.8932,-0.511146,-2
9.05901,-1.23218,-0.514034,6
10.9881,-1.97846,-0.635954,-2
9.31008,-2.45584,-0.543341,-2
9.28617,-2.51057,-0.542799,-2
9.27347,-2.56831,-0.54298,-2
10.7741,-3.27069,-0.641671,-2
10.7633,-3.3397,-0.642273,-2
10.7144,-5.07024,-0.677476,-2
10.7173,-5.15233,-0.679763,-2
10.7473,-5.24821,-0.683915,-2
8.42078,-8.21999,-0.672301,-2
8.38367,-8.28484,-0.673445,-2
5.32074,-9.53284,-0.62103,-2
2.03809,9.05687,-0.639511,5
2.07429,8.96063,-0.633258,5
2.123,8.92154,-0.631294,5
2.12823,8.70585,-0.616097,5
2.11876,8.44208,-0.597263,5
2.15908,8.38449,-0.593918,5
2.19955,8.32962,-0.590791,5
2.2303,8.24087,-0.58512,5
2.2747,8.20492,-0.583447,5
2.50407,8.2411,-0.590646,5
2.55725,8.23416,-0.5913,5
2.58028,8.1318,-0.584683,5
2.69867,8.3274,-0.600899,5
2.73875,8.27754,-0.598354,5
2.84016,7.09217,-0.519675,6
3.91523,9.27908,-0.696957,2
4.26493,9.7715,-0.740005,2
4.15979,9.37319,-0.710337,2
4.21353,9.33931,-0.709682,2
3.7258,7.39329,-0.566286,-2
3.84557,7.51591,-0.578212,-2
5.84496,11.254,-0.887254,2
5.91297,11.2162,-0.887109,2
6.03672,11.2826,-0.895617,2
4.92549,8.20933,-0.660671,2
4.98561,8.19515,-0.662053,2
4.2051,6.37111,-0.519239,-2
5.29021,7.90968,-0.656454,2
5.33473,7.87129,-0.655945,2
4.81709,6.24511,-0.537709,-2
7.66625,9.6917,-0.863622,-2
7.73368,9.65459,-0.864567,-2
7.90083,9.7402,-0.877074,-2
5.66771,5.06903,-0.517057,-2
5.68077,5.01831,-0.515312,-2
6.85415,3.93426,-0.538872,-2
7.02737,2.65747,-0.51044,6
9.20349,2.60339,-0.660017,-2
7.64479,0.324892,-0.520548,6
7.85482,-1.02155,-0.540181,6
7.85434,-1.07053,-0.540617,6
7.87724,-1.12292,-0.542799,6
7.82483,-1.16449,-0.539454,6
7.81655,-1.21233,-0.539381,6
8.21969,-1.74412,-0.575303,6
9.31535,-3.79655,-0.696084,-2
9.34623,-3.87617,-0.700374,-2
6.9936,-5.05989,-0.592028,-2
6.94633,-5.09091,-0.590573,-2
1.80059,8.24044,-0.676708,5
1.92167,7.10337,-0.585585,6
1.96762,7.10009,-0.586344,6
2.05228,6.90889,-0.57276,6
2.0984,6.90856,-0.573857,6
2.69833,6.0815,-0.525848,6
3.51186,5.46701,-0.512686,6
4.99137,6.99017,-0.689786,2
6.25447,5.45838,-0.665402,-2
5.20444,3.85702,-0.510999,6
5.24168,3.83502,-0.512433,6
5.26673,3.80395,-0.512602,6
5.29078,3.77214,-0.512686,6
5.31545,3.74075,-0.512855,6
5.47014,3.6039,-0.517158,6
6.0345,2.76141,-0.524414,6
6.05415,2.29032,-0.510577,6
6.81533,0.965775,-0.545339,6
6.85236,0.885386,-0.547532,6
7.48749,-1.49218,-0.608956,6
8.08529,-2.2407,-0.672911,6
8.23193,-2.6112,-0.693752,6
8.30762,-2.86144,-0.706492,6
8.40836,-2.95399,-0.717123,6
6.98121,-5.04994,-0.692064,-2
6.94367,-5.08797,-0.691389,-2
3.60882,-6.56242,-0.596638,-2
2.27898,6.2351,-0.609688,6
2.93143,5.81392,-0.597264,6
2.94268,5.49628,-0.570281,6
3.04285,5.60057,-0.58387,6
3.2601,5.50704,-0.586393,6
3.29844,5.49462,-0.587267,6
3.60532,4.91695,-0.556886,6
3.62,4.87395,-0.554363,6
3.65821,4.86279,-0.555722,6
3.69703,4.85213,-0.557178,6
4.00165,4.30167,-0.535242,6
3.98089,4.22703,-0.528544,6
4.01843,4.21477,-0.530194,6
4.02141,4.1664,-0.526991,6
4.72705,3.19579,-0.518741,6
5.91566,2.23569,-0.579016,6
6.01252,2.06385,-0.582219,6
6.01941,2.02501,-0.581637,6
6.00998,1.98087,-0.579405,6
5.98731,1.57367,-0.56601,6
5.99493,1.53641,-0.565816,6
6.04769,1.51045,-0.570184,6
5.961,1.37273,-0.558828,6
5.98096,1.33873,-0.559992,6
5.89862,1.28233,-0.550966,6
5.90053,1.24488,-0.550383,6
5.90904,1.20885,-0.55048,6
6.61266,-0.00447297,-0.607164,6
6.56772,-0.0447501,-0.602797,6
6.56135,-0.0849718,-0.602214,6
7.50188,-2.03181,-0.720241,6
7.54298,-2.0927,-0.725677,6
7.6687,-2.22926,-0.74111,6
7.72547,-2.29725,-0.748292,6
3.59311,-6.5384,-0.689861,-2
2.10871,6.12253,-0.670131,6
2.13701,6.08322,-0.667087,6
2.17664,6.07654,-0.667848,6
2.41931,4.8765,-0.557307,6
2.45142,4.866,-0.55785,6
2.47807,4.84467,-0.55709,6
2.49675,4.8082,-0.554481,6
2.52203,4.78488,-0.553503,6
2.89073,5.02659,-0.59611,6
3.49621,4.47679,-0.583176,6
3.74957,3.84012,-0.548938,6
4.128,3.78518,-0.57448,6
4.4709,3.71269,-0.597523,6
4.67082,3.3736,-0.592089,6
4.71248,3.35988,-0.594915,6
5.29676,2.58291,-0.606436,6
5.32147,2.55466,-0.607523,6
5.91558,0.65394,-0.612849,6
5.9264,0.618352,-0.61361,6
5.99591,0.55131,-0.620458,6
6.09452,0.334763,-0.629479,6
6.34907,-0.39231,-0.657631,6
6.34456,-0.431125,-0.657414,6
6.84197,-1.3635,-0.724912,6
6.97013,-1.52295,-0.742194,6
7.03145,-1.58162,-0.750129,6
7.08359,-1.63908,-0.757085,6
7.13046,-1.69609,-0.763498,6
7.202,-1.75987,-0.772737,6
7.26916,-1.82363,-0.781541,6
5.13419,-2.24034,-0.574589,7
5.08673,-2.25688,-0.570567,7
3.54111,-6.53392,-0.774694,-2
2.39863,4.90564,-0.627546,6
2.38632,4.80547,-0.615929,6
2.42112,4.80138,-0.617381,6
2.69598,4.61815,-0.613751,6
3.75831,3.57302,-0.594028,6
3.81489,3.58252,-0.599836,6
3.81657,3.41172,-0.585921,6
3.9825,3.51639,-0.609516,6
4.01302,3.20702,-0.588099,6
4.03496,3.18418,-0.588462,6
4.90407,2.2057,-0.617381,6
4.96496,2.08815,-0.61847,6
5.89976,0.503916,-0.683691,6
5.91759,0.468885,-0.685506,6
5.92332,0.432784,-0.685869,6
6.21802,-0.578228,-0.723138,6
6.31656,-0.783455,-0.73778,6
6.32443,-0.823862,-0.739353,6
6.362,-0.908277,-0.745282,6
6.64272,-1.19927,-0.784729,6
5.08599,-2.22152,-0.638436,7
5.07226,-2.25269,-0.638436,7
2.58383,4.19179,-0.621349,6
2.61896,4.19098,-0.623739,6
2.68653,4.24097,-0.634229,6
2.8941,4.21685,-0.646842,6
3.67183,3.36813,-0.629183,6
3.73576,3.38479,-0.637017,6
4.24268,2.68569,-0.634361,6
4.23929,2.54001,-0.623739,6
4.3104,2.51124,-0.62998,6
5.0455,1.00275,-0.650826,6
5.09536,0.980199,-0.6568,6
5.78348,-0.214016,-0.736997,6
5.78206,-0.249499,-0.736997,6
5.78834,-0.285363,-0.738059,6
6.3981,-0.990403,-0.82901,6
6.53015,-1.1343,-0.84959,6
5.0877,-2.219,-0.705263,7
5.0613,-2.24455,-0.703405,7
5.06189,-2.28208,-0.705529,7
4.36713,1.99637,-0.66544,6
5.03019,0.679446,-0.705618,6
5.33875,0.258434,-0.745071,6
5.4416,0.062896,-0.759286,6
5.6517,-0.21216,-0.790616,6
5.70465,-0.249198,-0.798594,6
5.73761,-0.285913,-0.80367,6
5.92141,-0.477486,-0.832389,6
5.96667,-0.517994,-0.839497,6
6.10655,-0.681467,-0.862269,6
6.11109,-0.719964,-0.863575,6
5.12845,-2.20269,-0.779737,7
5.08672,-2.22184,-0.775241,7
5.06938,-2.25141,-0.774661,7
5.04104,-2.27596,-0.77234,7
4.8818,0.662229,-0.743357,6
4.89752,0.633783,-0.745238,6
4.91602,0.60553,-0.74759,6
4.92749,0.576272,-0.748844,6
4.94271,0.54733,-0.750725,6
4.97938,0.52048,-0.756056,6
5.01885,0.493491,-0.761857,6
5.05423,0.465674,-0.76703,6
5.06585,0.435413,-0.768441,6
5.08418,0.405577,-0.77095,6
5.11021,0.376112,-0.774713,6
5.38339,0.065167,-0.815946,6
5.41529,0.0323203,-0.820962,6
5.44501,-0.000915019,-0.825666,6
5.46861,-0.0344761,-0.829428,6
5.49397,-0.0683515,-0.833505,6
5.74236,-0.318425,-0.874267,6
5.7472,-0.354079,-0.875365,6
5.75871,-0.390272,-0.87756,6
1.89735,4.06622,-0.728121,6
1.92776,4.06608,-0.730311,6
1.94626,4.04086,-0.727784,6
4.46271,1.08441,-0.746149,6
4.47887,1.05928,-0.747834,6
4.49201,1.03333,-0.749013,6
4.62284,0.885673,-0.765694,6
4.65436,0.862145,-0.770243,6
4.67993,0.83722,-0.773781,6
4.70052,0.811175,-0.776477,6
4.7268,0.785879,-0.780184,6
4.74322,0.758733,-0.782206,6
4.88436,0.597914,-0.802256,6
4.91241,0.570782,-0.806468,6
4.93541,0.542789,-0.809838,6
4.95434,0.514128,-0.812534,6
4.97898,0.48583,-0.81624,6
5.00445,0.457338,-0.820116,6
5.26446,0.156846,-0.861396,6
5.28898,0.125106,-0.865439,6
5.32118,0.0932099,-0.870831,6
1.40228,4.15208,-0.762893,6
1.42677,4.14061,-0.762353,6
1.44791,4.11971,-0.760013,6
1.4705,4.10334,-0.758573,6
1.50308,4.11457,-0.762533,6
1.52899,4.10711,-0.762893,6
1.55067,4.08846,-0.761093,6
1.85931,3.92611,-0.755873,6
2.69929,3.08761,-0.711412,6
2.72666,3.08056,-0.713752,6
2.77571,3.09747,-0.722032,6
2.86078,2.92899,-0.710152,6
4.1197,1.41498,-0.758033,6
4.13763,1.39281,-0.759833,6
4.16665,1.37417,-0.763793,6
4.23301,1.28176,-0.770273,6
4.25494,1.25995,-0.772973,6
4.27393,1.2371,-0.775133,6
4.29375,1.21433,-0.777474,6
4.31534,1.19189,-0.780174,6
4.33682,1.16923,-0.782874,6
4.40817,1.07315,-0.791154,6
4.42712,1.04903,-0.793494,6
4.5927,0.881884,-0.816714,6
4.61833,0.857456,-0.820495,6
4.64094,0.832226,-0.823735,6
4.66146,0.806415,-0.826615,6
4.68282,0.780546,-0.829675,6
4.70986,0.755379,-0.833815,6
4.73482,0.72961,-0.837595,6
4.75672,0.703132,-0.840835,6
4.77945,0.67655,-0.844255,6
1.37756,-3.06081,-0.575149,8
1.36592,-3.0854,-0.578389,8
1.38689,4.185,-0.822519,6
1.4094,4.16712,-0.820601,6
1.43494,4.15839,-0.820601,6
1.45392,4.13099,-0.816764,6
1.47394,4.10721,-0.813694,6
1.49305,4.0815,-0.810241,6
1.5143,4.06214,-0.808131,6
1.5378,4.0491,-0.807364,6
1.55943,4.03135,-0.805637,6
1.58162,4.01531,-0.804294,6
1.60221,3.99551,-0.802184,6
1.62188,3.97379,-0.79969,6
1.63984,3.94836,-0.796429,6
1.65869,3.92556,-0.793743,6
1.69495,3.87793,-0.787988,6
1.71513,3.85938,-0.786262,6
1.73515,3.84074,-0.784535,6
1.755,3.82199,-0.782809,6
1.79672,3.78952,-0.780507,6
1.81781,3.77401,-0.779548,6
1.9666,3.61731,-0.765543,6
2.01995,3.60918,-0.769188,6
2.03431,3.58306,-0.766119,6
2.05332,3.56541,-0.764968,6
2.0613,3.52901,-0.759596,6
2.07842,3.50869,-0.75787,6
2.09839,3.49335,-0.757294,6
2.11927,3.47957,-0.757103,6
2.13749,3.46149,-0.755952,6
2.15817,3.44748,-0.75576,6
2.17771,3.43168,-0.755184,6
2.1966,3.41495,-0.754417,6
2.67569,3.02012,-0.749429,6
2.69024,2.99926,-0.748278,6
3.40402,2.20991,-0.754033,6
3.41917,2.19004,-0.754417,6
3.43503,2.17059,-0.754992,6
3.44911,2.14999,-0.755184,6
3.44887,2.12056,-0.752115,6
3.4593,2.09783,-0.751539,6
3.478,2.08009,-0.752882,6
3.49408,2.06071,-0.75365,6
3.52277,2.04861,-0.757294,6
3.53868,2.02891,-0.758062,6
3.55619,2.01006,-0.759213,6
3.56074,1.9839,-0.757486,6
3.58575,1.9691,-0.760364,6
3.61157,1.95454,-0.763433,6
3.60964,1.92495,-0.760364,6
3.6405,1.91281,-0.764584,6
3.66001,1.8945,-0.766311,6
3.66807,1.87023,-0.765543,6
3.68474,1.85033,-0.766694,6
3.69866,1.82899,-0.76727,6
3.7204,1.81142,-0.769572,6
3.73056,1.78813,-0.76938,6
3.75566,1.77191,-0.77245,6
3.8717,1.62728,-0.781658,6
3.8925,1.608,-0.78396,6
3.91593,1.58962,-0.786837,6
3.93473,1.5692,-0.788756,6
3.95524,1.54933,-0.791058,6
3.97292,1.5282,-0.792784,6
4.03634,1.46791,-0.800266,6
4.05174,1.44542,-0.801609,6
4.07165,1.42443,-0.803911,6
4.19857,1.26932,-0.818107,6
4.22134,1.24799,-0.821176,6
4.24589,1.22697,-0.824629,6
4.26561,1.20437,-0.827123,6
4.28522,1.18157,-0.829617,6
4.30566,1.15882,-0.832303,6
4.32597,1.13588,-0.834988,6
4.34522,1.11248,-0.837482,6
4.35863,1.08746,-0.838825,6
4.50614,0.949595,-0.860886,6
4.54649,0.92901,-0.867792,6
4.56847,0.90434,-0.871054,6
1.39759,-3.0595,-0.618213,8
1.37355,-3.05639,-0.615719,8
1.36153,-3.08001,-0.61898,8
1.55727,4.02694,-0.855455,6
1.57513,4,-0.851599,6
1.59564,3.98026,-0.849366,6
1.61522,3.95861,-0.846728,6
1.63422,3.93596,-0.843886,6
1.65224,3.91143,-0.840639,6
1.67041,3.88772,-0.837594,6
1.68953,3.86664,-0.835159,6
1.70925,3.84725,-0.833129,6
1.7304,3.83133,-0.831912,6
1.75184,3.81619,-0.830897,6
1.82818,3.73775,-0.822981,6
1.84585,3.71594,-0.820546,6
1.862,3.69143,-0.817502,6
1.87926,3.66948,-0.815066,6
1.94001,3.62218,-0.812225,6
1.96033,3.60677,-0.811413,6
1.98148,3.59296,-0.811007,6
2.04782,3.50689,-0.80228,6
2.06331,3.48415,-0.799844,6
2.08062,3.46471,-0.798221,6
2.09878,3.44686,-0.797003,6
2.11938,3.43308,-0.7968,6
2.1404,3.42001,-0.7968,6
2.16135,3.40682,-0.7968,6
2.18009,3.3902,-0.795988,6
2.40412,3.15431,-0.782593,6
2.42103,3.13639,-0.781781,6
2.43842,3.11917,-0.781172,6
2.45569,3.10184,-0.780563,6
2.47161,3.0829,-0.779548,6
2.48801,3.06463,-0.778737,6
2.50491,3.04704,-0.778128,6
2.52105,3.0286,-0.777316,6
2.53454,3.00709,-0.775692,6
2.55103,2.98924,-0.775083,6
2.56677,2.97057,-0.774271,6
2.63363,2.90089,-0.772648,6
2.65403,2.88756,-0.77346,6
2.6737,2.87337,-0.774068,6
2.69195,2.85762,-0.774271,6
2.70808,2.83963,-0.773866,6
2.72137,2.81874,-0.772648,6
2.73588,2.79918,-0.771836,6
2.75162,2.78095,-0.77143,6
2.76725,2.76263,-0.771024,6
2.78694,2.74835,-0.771836,6
2.80515,2.73257,-0.772242,6
2.82328,2.71666,-0.772648,6
2.83989,2.69928,-0.772648,6
2.8564,2.68181,-0.772648,6
2.87711,2.66823,-0.773866,6
2.89487,2.65185,-0.774271,6
2.90891,2.63206,-0.773663,6
2.92209,2.61155,-0.772851,6
2.93512,2.59098,-0.772039,6
2.95318,2.57486,-0.772648,6
2.97115,2.5586,-0.773257,6
2.98903,2.54223,-0.773866,6
3.00457,2.52384,-0.773866,6
3.01774,2.50348,-0.773257,6
3.03229,2.4843,-0.773054,6
3.05052,2.46811,-0.773866,6
3.06713,2.45057,-0.774271,6
3.08442,2.43352,-0.77488,6
3.14791,2.36061,-0.776098,6
3.16785,2.34533,-0.777519,6
3.18929,2.33105,-0.779345,6
3.21307,2.31831,-0.781781,6
3.23202,2.30196,-0.782999,6
3.25409,2.28772,-0.785028,6
3.26968,2.26882,-0.785434,6
3.28111,2.24706,-0.784825,6
3.29484,2.22688,-0.784825,6
3.45222,2.06525,-0.794364,6
3.46736,2.04552,-0.794973,6
3.48577,2.02766,-0.796394,6
3.5024,2.00867,-0.797409,6
3.51806,1.98906,-0.798221,6
3.53362,1.96935,-0.799032,6
3.54908,1.94951,-0.799844,6
3.56528,1.93003,-0.800859,6
3.57878,1.90904,-0.801265,6
3.59389,1.88887,-0.802077,6
3.60976,1.86903,-0.803092,6
3.63512,1.85396,-0.806339,6
3.66218,1.83953,-0.809992,6
3.67954,1.82007,-0.811413,6
3.69592,1.80003,-0.812631,6
3.71219,1.77985,-0.813848,6
3.73102,1.7608,-0.815675,6
3.75063,1.742,-0.817704,6
3.76837,1.72221,-0.819328,6
3.78423,1.70146,-0.820546,6
3.85734,1.62174,-0.827852,6
3.86994,1.59916,-0.828461,6
3.88784,1.5787,-0.830288,6
3.91019,1.5599,-0.833129,6
3.93427,1.54159,-0.836377,6
3.9703,1.49977,-0.840233,6
3.99136,1.4798,-0.842871,6
4.00865,1.45829,-0.844698,6
4.0249,1.4363,-0.846322,6
4.04196,1.41449,-0.848148,6
4.29903,1.1292,-0.881839,6
4.30208,1.10183,-0.881027,6
4.31541,1.07707,-0.882448,6
1.41213,-3.08972,-0.664674,8
1.36986,-3.04652,-0.652902,8
1.37134,-3.10054,-0.663253,8
1.81883,3.7192,-0.872129,6
1.83684,3.69835,-0.869763,6
1.85686,3.68178,-0.868472,6
1.87586,3.66336,-0.866752,6
1.89335,3.64225,-0.864386,6
