x,y,z
15.7262,7.0859,-0.58368
16.1116,6.67282,-0.59051
16.4287,6.10591,-0.593673
17.4001,6.22497,-0.627966
17.7142,6.21502,-0.638498
17.5479,6.036,-0.630734
17.309,5.83532,-0.620273
17.9423,5.92646,-0.642919
16.4055,5.19648,-0.582243
17.9567,5.32612,-0.636952
17.8757,5.183,-0.632711
17.8513,4.93927,-0.629476
17.6864,4.77701,-0.622215
18.1435,4.7812,-0.638139
16.4254,4.22087,-0.573256
16.3986,4.1069,-0.571315
17.3886,4.24159,-0.607045
18.8864,4.48432,-0.661468
17.304,3.99663,-0.602049
18.6455,4.18611,-0.650612
17.0656,3.7216,-0.591517
17.5105,3.7062,-0.607045
17.9039,3.67484,-0.620669
17.9595,3.57154,-0.621891
19.1282,3.68208,-0.663912
18.5315,3.44944,-0.641266
18.5779,3.34026,-0.642201
18.6768,3.23987,-0.645076
18.0557,3.01813,-0.621711
19.0378,3.06233,-0.656831
19.077,2.94866,-0.657585
19.5435,2.89809,-0.673905
19.4917,2.76829,-0.671389
18.0387,2.44914,-0.618045
19.0296,2.46484,-0.653452
17.8066,2.19544,-0.608591
18.6167,2.17943,-0.637456
18.8503,2.0896,-0.645436
18.7306,1.96007,-0.640655
19.154,1.88563,-0.655537
17.1572,1.37075,-0.58235
17.1723,1.26596,-0.582602
19.0891,1.28952,-0.651439
19.2313,1.18063,-0.656291
17.3074,0.955999,-0.586736
19.2893,0.946746,-0.657909
19.3187,0.8294,-0.658772
17.1203,0.629847,-0.579475
15.4735,-2.29592,-0.525915
14.4699,-5.07812,-0.514844
14.3397,-5.13146,-0.511069
14.2569,-5.30008,-0.510351
14.553,-5.51206,-0.523004
14.6952,-5.66924,-0.529797
14.7215,-5.78342,-0.53217
14.7099,-5.88329,-0.533104
14.6763,-5.97457,-0.533212
14.6615,-6.07369,-0.534075
14.7344,-6.21011,-0.538388
14.7255,-6.31301,-0.539539
14.6177,-6.37328,-0.536843
14.5601,-6.45476,-0.536124
14.6578,-6.60598,-0.541552
15.7908,-7.23355,-0.587994
15.7353,-7.32524,-0.587563
15.6936,-7.42337,-0.587706
15.6145,-7.5035,-0.586376
15.5654,-7.59786,-0.586269
15.532,-7.69988,-0.586808
15.4808,-7.79324,-0.586664
15.463,-7.90355,-0.587886
15.4506,-8.01715,-0.58936
15.4382,-8.13136,-0.59087
15.4189,-8.24242,-0.592128
15.3917,-8.34974,-0.593098
15.3595,-8.45463,-0.593889
15.3274,-8.55993,-0.594716
15.2792,-8.78074,-0.597124
15.2769,-8.90452,-0.599281
15.2641,-9.02301,-0.601042
15.2445,-9.13808,-0.602552
15.2086,-9.2439,-0.603415
15.1882,-9.35959,-0.60496
15.1805,-9.48385,-0.607081
15.1422,-9.58965,-0.607944
15.0957,-9.69047,-0.608483
15.0486,-9.79109,-0.609022
15.0007,-9.8915,-0.609562
14.9447,-9.98669,-0.609777
14.8774,-10.0743,-0.609526
14.798,-10.1535,-0.608771
14.7141,-10.2293,-0.607836
14.6306,-10.305,-0.606937
14.5476,-10.3806,-0.606075
14.4682,-10.4586,-0.605392
14.4005,-10.5448,-0.605248
14.3548,-10.6472,-0.606111
14.493,-10.8882,-0.615277
9.89433,-14.8093,-0.603882
9.79723,-14.8606,-0.603487
5.60307,17.2937,-0.842604
6.17167,17.2274,-0.848451
5.67587,15.251,-0.750396
6.03241,15.9098,-0.786303
6.60255,16.7893,-0.835935
6.79972,16.984,-0.84821
6.90908,16.9549,-0.848886
5.96789,14.3914,-0.716857
6.0491,14.338,-0.715988
6.13144,14.2877,-0.715311
6.41793,14.7057,-0.739378
6.15077,13.8608,-0.696754
7.38966,16.3813,-0.832552
5.33225,11.6288,-0.582026
6.67566,14.3265,-0.727779
6.74805,14.2528,-0.72604
7.56998,15.7387,-0.80805
6.96278,14.2515,-0.730486
6.88452,13.8747,-0.71246
7.44587,14.7778,-0.763686
6.57896,12.8599,-0.661958
7.04899,13.5728,-0.703036
7.23366,13.7219,-0.713571
7.03457,13.148,-0.684527
6.87876,12.6691,-0.660557
7.23008,13.1236,-0.688006
7.01324,12.5471,-0.658527
7.55512,13.3241,-0.704147
7.55756,13.1398,-0.696464
8.44674,14.4797,-0.774125
7.30736,12.3515,-0.657415
8.00776,13.348,-0.716181
8.03502,13.209,-0.711107
8.04304,13.0413,-0.704389
7.42879,11.8813,-0.641033
8.19392,12.9281,-0.703616
8.11169,12.6263,-0.689166
7.94532,12.0397,-0.660992
8.36715,12.5114,-0.691293
8.04708,11.8744,-0.657077
8.15371,11.8742,-0.659977
8.65078,12.434,-0.695932
8.2036,11.1947,-0.634557
8.71367,11.5898,-0.664616
9.54155,12.5303,-0.725073
9.62801,12.4841,-0.725846
9.07183,11.6148,-0.676118
9.18134,11.6075,-0.679114
9.20681,11.494,-0.675586
9.42628,11.6211,-0.68704
8.87681,10.8074,-0.639728
9.58004,11.3761,-0.682642
9.25309,10.852,-0.653066
10.0231,11.6101,-0.705162
8.89063,10.1713,-0.616676
9.06076,10.2384,-0.624553
8.96696,9.88529,-0.608799
9.74248,10.479,-0.655337
10.8156,11.4912,-0.726571
10.6468,11.1737,-0.709802
10.0752,10.4446,-0.665196
9.73643,9.9702,-0.637312
9.84939,9.96284,-0.640888
9.9612,9.95305,-0.644367
11.0926,10.9485,-0.717147
11.141,10.8621,-0.715891
11.1535,10.7416,-0.712266
11.1974,10.6523,-0.710817
11.256,10.5772,-0.710382
11.5021,10.4165,-0.713861
10.843,9.69908,-0.666936
12.0917,10.6833,-0.743727
12.1088,10.5669,-0.740634
11.7883,10.1604,-0.716036
12.1182,10.3158,-0.733047
10.7043,8.99935,-0.63968
12.6019,10.4637,-0.755567
12.3297,9.98454,-0.730679
12.6692,10.1314,-0.747932
11.2551,8.88777,-0.656932
12.906,10.0636,-0.754891
12.7736,9.83496,-0.743051
12.5148,9.51397,-0.723671
11.2997,8.48116,-0.646639
12.7598,9.45543,-0.731452
12.5943,9.21358,-0.718066
12.6668,9.14783,-0.719032
12.6723,9.03399,-0.716036
12.9497,9.11242,-0.729181
13.2334,9.19121,-0.742616
13.2648,9.0929,-0.741166
13.0912,8.85629,-0.727779
13.3197,8.89227,-0.737928
13.5425,8.92138,-0.74769
13.0008,8.4505,-0.713281
13.2054,8.46871,-0.722077
13.9053,8.79771,-0.759192
13.9141,8.68419,-0.75663
12.6539,7.79006,-0.682014
13.6654,8.29763,-0.736575
13.6535,8.17616,-0.733047
13.6079,8.03584,-0.727683
13.5448,7.88685,-0.7214
12.1862,6.99587,-0.642917
13.6744,7.73923,-0.723285
13.9798,7.79924,-0.73759
13.9408,7.66566,-0.732805
13.9639,7.56713,-0.7315
13.6224,7.27426,-0.710237
12.0156,6.32165,-0.619962
11.6303,6.02806,-0.596862
13.9594,7.12722,-0.7214
10.2141,5.13585,-0.516205
13.3271,6.5994,-0.682594
13.766,6.71189,-0.704051
13.9032,6.67355,-0.709222
12.2118,5.76959,-0.616531
13.2944,6.08275,-0.670415
14.3579,6.4632,-0.72488
13.0886,5.79538,-0.655627
13.5131,5.88447,-0.676166
13.3616,5.72123,-0.666308
14.2692,6.00657,-0.712121
13.5647,5.61221,-0.673315
13.3208,5.32081,-0.657077
14.1231,5.5411,-0.697092
11.0876,4.19358,-0.536599
13.6272,5.05906,-0.666356
13.8147,5.03246,-0.674426
13.8566,4.95163,-0.675006
13.9117,4.49507,-0.670415
13.9793,3.58685,-0.66133
13.9181,2.94054,-0.651326
12.1992,-0.529455,-0.553851
12.5829,-3.90718,-0.600535
12.5758,-3.98975,-0.601405
12.6499,-4.09885,-0.606431
12.7336,-4.21246,-0.611988
12.7965,-4.32054,-0.616531
12.8831,-4.438,-0.62233
12.9338,-4.54444,-0.626341
13.0298,-4.66817,-0.63272
13.075,-4.7751,-0.636538
13.0548,-4.85872,-0.637022
13.0248,-4.93873,-0.637022
12.9439,-4.99913,-0.634412
12.8516,-5.05433,-0.631222
12.8056,-5.12716,-0.630449
12.7702,-5.20412,-0.630256
12.6891,-5.26211,-0.627694
12.6308,-5.329,-0.626341
12.5813,-5.39931,-0.625471
12.5452,-5.47521,-0.625326
12.5214,-5.55654,-0.625858
12.4716,-5.62628,-0.625037
12.416,-5.69313,-0.623925
12.3935,-5.77511,-0.624602
12.3452,-5.84506,-0.623925
8.90557,-10.4618,-0.627791
6.05519,-11.6826,-0.599713
2.66841,12.2214,-0.717013
2.87308,11.4599,-0.675129
2.94931,11.4653,-0.676574
3.01629,11.4344,-0.675791
3.11818,11.5332,-0.683133
3.219,11.6226,-0.689933
3.34772,11.8053,-0.702631
4.98725,9.0569,-0.586187
6.41234,7.1599,-0.542318
10.4337,5.08972,-0.662733
9.76947,1.8169,-0.561936
9.77159,1.75534,-0.561394
9.78611,1.69603,-0.561635
10.8911,-3.37934,-0.650336
10.874,-3.44731,-0.650577
10.8516,-3.51366,-0.650517
10.8223,-3.57767,-0.650036
10.7935,-3.64178,-0.649614
10.7719,-3.70826,-0.649674
10.1966,-4.97926,-0.646966
10.1668,-5.04217,-0.647027
10.1615,-5.11748,-0.648772
10.2108,-5.22109,-0.654248
10.3035,-5.34849,-0.662733
10.3729,-5.46559,-0.669713
7.85903,-5.46545,-0.539971
7.82535,-5.51356,-0.539971
4.95582,-7.93687,-0.526973
4.8976,-7.95183,-0.525889
2.15237,10.7963,-0.76531
2.21858,10.7829,-0.76531
2.28491,10.7701,-0.765383
3.19887,10.3011,-0.749094
3.26594,10.2937,-0.750039
4.20848,8.74862,-0.670488
6.29642,5.98916,-0.596245
6.32142,5.93949,-0.595082
9.07428,-3.69833,-0.677105
9.12512,-3.7845,-0.682923
9.18259,-3.87453,-0.689322
9.25489,-3.97209,-0.696957
9.33089,-4.07268,-0.704956
9.39051,-4.16747,-0.711718
7.85108,-5.46282,-0.660017
7.81415,-5.50859,-0.659726
4.93328,-7.90524,-0.642056
2.15941,10.1813,-0.843768
2.20184,10.0764,-0.835837
2.26297,10.0598,-0.835583
5.29144,6.44281,-0.66844
5.8446,5.84031,-0.662111
5.8555,5.77985,-0.659158
6.11846,5.01756,-0.632496
6.7672,4.63917,-0.657218
8.21259,-2.54971,-0.69063
8.23573,-2.61241,-0.694089
8.29538,-2.68747,-0.700839
8.32981,-2.75521,-0.705395
8.44517,-2.90883,-0.71881
8.51271,-2.99065,-0.726488
2.72844,8.78025,-0.858943
2.7639,8.70548,-0.853022
2.85927,8.63689,-0.849528
7.50795,-1.64277,-0.711797
7.52977,-1.69602,-0.715
7.56092,-1.75184,-0.719174
7.59747,-1.8095,-0.72393
7.64326,-1.87003,-0.729656
7.71177,-1.937,-0.737712
7.7595,-1.99967,-0.74373
7.83813,-2.12283,-0.754213
6.90293,-0.469102,-0.718608
6.89298,-0.510934,-0.717847
6.90161,-0.554175,-0.719151
6.88235,-0.76573,-0.71926
6.88838,-0.809221,-0.720456
6.97962,-0.994153,-0.732955
7.04025,-1.04691,-0.740347
7.07004,-1.09572,-0.744368
7.10833,-1.14636,-0.749368
5.88054,-1.6685,-0.630458
5.82818,-1.69235,-0.625675
3.63981,-4.43825,-0.589698
3.61876,-4.46822,-0.590784
6.68059,-0.621157,-0.779768
6.70629,-0.665071,-0.783398
5.82856,-1.65591,-0.700511
5.81734,-1.69136,-0.70039
3.63615,-4.43702,-0.661185
5.7975,0.858952,-0.746822
6.23345,-0.00110423,-0.796746
6.26009,-0.0395226,-0.800331
6.29739,-0.0784043,-0.805376
5.89942,-1.63371,-0.781742
5.82159,-1.65067,-0.772315
5.80278,-1.68388,-0.77112
5.80279,-1.72255,-0.772581
3.65633,-4.40145,-0.728234
3.62485,-4.41844,-0.727304
3.59268,-4.43444,-0.726242
5.33118,1.40108,-0.769584
5.33584,1.36736,-0.769004
5.34374,1.26504,-0.766538
5.66849,0.765812,-0.800044
5.67603,0.731396,-0.800479
5.7138,0.700656,-0.805411
5.72978,0.666959,-0.807151
5.7495,0.633526,-0.809472
6.15097,0.0712457,-0.863285
6.15525,0.033525,-0.863865
2.72993,4.81709,-0.840246
2.74811,4.78056,-0.83664
4.89382,1.85241,-0.791958
4.90787,1.82338,-0.792429
4.9236,1.79493,-0.793212
4.94382,1.76801,-0.79478
4.96297,1.74058,-0.796191
5.03802,1.6292,-0.801835
5.06393,1.60332,-0.804501
5.08027,1.57426,-0.805598
5.51098,0.955281,-0.849183
5.52843,0.9234,-0.851064
4.8524,1.83267,-0.847748
4.87188,1.80595,-0.849264
5.081,1.53635,-0.868472
5.0979,1.50738,-0.86982
5.11273,1.47772,-0.870831
5.33078,1.1578,-0.893577
5.33104,1.12365,-0.892398
5.33493,1.09032,-0.891892
5.34636,1.05852,-0.892735
5.39577,0.999667,-0.899137
4.60295,2.13971,-0.889796
4.64014,2.12247,-0.894656
4.65218,2.09356,-0.894476
4.66584,2.06537,-0.894656
4.68113,2.03788,-0.895196
4.70168,2.0126,-0.896816
4.70578,1.98028,-0.895196
4.74784,1.96378,-0.901136
4.7598,1.93461,-0.901136
4.77524,1.90682,-0.901856
4.79051,1.87892,-0.902576
4.81388,1.85409,-0.904916
3.09933,1.06341,-0.63971
