x,y,z,cluster
13.5149,7.22319,-0.514448,0
13.88,7.30914,-0.527497,0
14.9602,7.52954,-0.565671,0
13.7171,6.59035,-0.510638,0
15.2045,4.40856,-0.532673,4
15.2668,3.92318,-0.530229,4
15.3633,3.84763,-0.532925,4
15.3837,3.75258,-0.532817,4
15.4239,3.66228,-0.533464,4
15.4588,3.57049,-0.533931,4
15.5174,3.48389,-0.535297,4
16.99,3.16253,-0.584867,4
17.0317,3.06229,-0.585693,4
17.0955,2.96559,-0.587347,4
17.3134,2.89408,-0.594644,4
17.7551,2.85603,-0.610101,4
16.098,1.38561,-0.544427,4
16.0823,1.2849,-0.543565,4
12.9222,-9.2208,-0.534255,-1
12.7771,-9.2361,-0.530336,-1
12.8452,-9.40584,-0.535908,-1
9.43752,-11.9422,-0.510746,-1
7.71328,10.6621,-0.599762,22
8.43058,9.76515,-0.587245,22
8.49494,9.7185,-0.587583,22
8.62854,9.74998,-0.592996,22
8.72486,9.73777,-0.595654,22
8.80525,9.70698,-0.597152,22
9.08892,9.89704,-0.613196,22
9.18008,9.874,-0.615371,22
9.2891,9.86913,-0.618802,22
9.51629,9.86512,-0.626245,22
9.66177,9.89373,-0.632141,22
9.76583,9.8783,-0.635137,22
9.95061,9.94246,-0.643642,22
12.0149,11.7142,-0.774946,35
12.0966,11.65,-0.775623,35
12.2163,11.6217,-0.778861,35
12.3282,11.5848,-0.781567,35
12.4341,11.5416,-0.783887,35
11.746,7.73767,-0.643594,0
11.9039,7.63393,-0.647267,0
11.4197,3.92324,-0.547279,22
11.4332,3.84959,-0.546747,22
13.0152,3.42466,-0.614211,22
13.0756,3.26954,-0.615178,22
9.2507,-8.08611,-0.557524,-1
9.19867,-8.14073,-0.557379,-1
3.95035,8.48227,-0.526973,48
4.09399,8.3839,-0.525348,48
4.12938,8.32643,-0.523181,48
8.56143,11.5386,-0.829063,22
8.63026,11.4835,-0.828883,22
8.69089,11.4176,-0.82792,22
8.64864,11.2186,-0.816847,22
8.50881,10.2349,-0.765275,22
8.55202,7.19289,-0.636556,22
8.17796,4.63062,-0.52944,22
8.16961,4.55992,-0.526912,22
8.16595,4.49239,-0.524746,22
8.12843,4.40699,-0.520293,22
8.13418,4.34575,-0.518849,22
8.14038,4.28506,-0.517465,22
8.26311,4.28512,-0.524024,22
8.31058,4.24523,-0.525468,22
11.0732,1.2257,-0.63451,22
11.0646,1.15607,-0.633547,22
10.9524,-1.69568,-0.631019,-1
10.9576,-1.76539,-0.631982,-1
3.88506,8.47193,-0.642202,48
3.92728,8.42714,-0.640529,48
3.958,8.35871,-0.636966,48
4.01224,8.34056,-0.637475,48
4.09924,8.38927,-0.643438,48
4.14798,8.3586,-0.643001,48
6.43819,8.13888,-0.719281,22
6.55097,8.17784,-0.726625,22
6.54931,6.22978,-0.621696,22
6.63102,6.23046,-0.626059,22
6.66035,6.18151,-0.625186,22
9.48713,2.87329,-0.685395,22
5.54577,-6.67988,-0.595663,-1
3.89786,8.50162,-0.754416,48
3.95584,8.35588,-0.745304,48
3.99753,8.3117,-0.743448,48
4.05502,8.30044,-0.744713,48
4.09834,8.26023,-0.743279,48
4.12225,8.05851,-0.728935,48
4.173,8.03572,-0.729188,48
5.64417,4.80509,-0.590141,22
5.08474,4.27535,-0.525005,22
5.11854,4.25043,-0.525848,22
5.09853,4.02659,-0.512602,22
8.0466,2.98763,-0.68928,22
8.123,2.90308,-0.692908,22
8.18768,2.86966,-0.697127,22
8.32764,2.86145,-0.708095,22
3.01636,7.1446,-0.718591,48
3.0413,7.08206,-0.713932,48
3.02258,6.92097,-0.698791,48
3.14166,6.95956,-0.706944,48
3.95523,8.62103,-0.887285,48
4.48319,4.31517,-0.569116,22
4.64228,4.41379,-0.586975,22
4.65622,4.37295,-0.585228,22
4.64211,4.30639,-0.579793,22
4.62516,4.23814,-0.574066,22
4.61492,4.17695,-0.56931,22
4.63676,4.14524,-0.568825,22
5.04178,4.28952,-0.607844,22
5.08553,4.27323,-0.610076,22
5.32558,3.99498,-0.611532,22
4.78939,3.54689,-0.543492,22
5.96906,1.18303,-0.555722,22
6.10066,-1.41373,-0.572999,114
4.42123,4.2584,-0.633284,22
4.62615,3.8416,-0.619588,22
5.15802,4.1252,-0.684261,22
4.99247,3.69996,-0.641544,22
4.5177,3.26303,-0.571437,22
4.53763,3.23524,-0.571437,22
5.98723,1.22699,-0.630349,22
5.97905,1.18713,-0.62861,22
5.98036,1.1493,-0.627958,22
6.07735,-1.40619,-0.644153,114
2.54081,-5.13026,-0.588067,125
2.49883,-5.12431,-0.585459,125
3.83991,2.99214,-0.555307,22
3.81022,2.93158,-0.547926,22
3.85817,2.93097,-0.552524,22
4.55023,3.28401,-0.645938,22
4.54847,3.24047,-0.642671,22
4.58289,3.22278,-0.644849,22
4.61399,3.20253,-0.646543,22
5.46168,3.00119,-0.721565,22
5.49047,2.9733,-0.723017,22
5.54411,2.91494,-0.725437,22
5.58393,2.89228,-0.728462,22
5.69882,2.86367,-0.739353,22
5.79012,2.8652,-0.749396,22
5.85845,2.85441,-0.756293,22
5.95475,1.21821,-0.70281,22
5.94751,1.17875,-0.700995,22
5.97218,1.14561,-0.703173,22
6.09411,-1.37287,-0.72338,114
6.07687,-1.40823,-0.722291,114
6.0768,-1.44755,-0.72338,114
2.51287,-5.07844,-0.652593,125
2.47601,-5.08216,-0.65102,125
1.4488,4.04723,-0.537568,22
1.47259,4.03547,-0.53717,22
1.49732,4.02636,-0.53717,22
2.14234,3.83509,-0.550182,22
2.24526,3.45011,-0.513137,22
3.29916,3.82339,-0.638212,22
4.08941,3.31319,-0.666759,22
3.88164,3.02826,-0.621217,22
3.89405,2.9618,-0.617101,22
5.22439,2.87429,-0.760498,22
5.41411,2.85012,-0.781344,22
5.93641,1.21765,-0.77351,22
5.9496,1.18236,-0.774307,22
5.94798,1.14415,-0.773112,22
2.58072,-5.1292,-0.730889,125
2.52456,-5.0952,-0.723454,125
2.48934,-5.10258,-0.722259,125
2.45927,-5.12044,-0.722657,125
1.47283,4.10636,-0.60104,22
1.47186,4.02568,-0.589871,22
1.49377,4.00916,-0.588711,22
1.53483,4.0434,-0.595528,22
2.02286,3.83386,-0.596978,22
2.34354,4.12975,-0.657608,22
2.12885,3.18051,-0.522569,22
2.14221,3.15838,-0.520974,22
2.15987,3.14273,-0.520538,22
2.17799,3.12779,-0.520248,22
2.19714,3.11437,-0.520248,22
2.47146,3.20204,-0.554479,22
2.48131,3.17434,-0.552159,22
2.49337,3.14975,-0.550418,22
2.49286,3.10968,-0.545777,22
2.52062,3.10508,-0.547807,22
2.53523,3.0842,-0.546792,22
3.79827,3.11248,-0.681396,22
3.81653,3.08849,-0.681251,22
3.84777,3.0749,-0.683571,22
3.94062,3.07064,-0.69387,22
3.91391,3.0114,-0.685457,22
3.89844,2.96159,-0.67922,22
3.97748,2.98334,-0.690389,22
4.50435,2.88666,-0.745796,22
4.79621,2.87012,-0.780898,22
1.51166,4.06491,-0.64976,22
1.51732,4.00476,-0.641137,22
1.53974,3.98985,-0.640196,22
2.04384,3.93783,-0.665594,22
2.0164,3.82735,-0.648035,22
2.1314,3.81551,-0.65509,22
2.13239,3.14842,-0.564942,22
2.15055,3.13364,-0.564628,22
2.16579,3.11471,-0.563531,22
2.18373,3.09975,-0.563217,22
2.2027,3.08629,-0.563217,22
2.21408,3.06232,-0.561179,22
2.50892,3.17359,-0.60351,22
2.51476,3.14118,-0.60006,22
2.52279,3.11188,-0.597238,22
2.53369,3.08642,-0.5952,22
2.5469,3.06398,-0.593789,22
2.56311,3.04527,-0.593162,22
3.92597,2.94823,-0.740691,22
3.93764,2.91938,-0.739437,22
3.96664,2.90333,-0.741632,22
4.0052,2.89397,-0.745708,22
4.05102,2.88941,-0.751196,22
4.87293,2.83891,-0.856551,22
1.60975,3.09499,-0.557441,22
2.13893,3.11108,-0.606471,22
2.15348,3.09143,-0.605123,22
2.169,3.07332,-0.604112,22
2.18609,3.05755,-0.603607,22
2.20539,3.04488,-0.603775,22
2.53413,3.20012,-0.658871,22
2.50933,3.12913,-0.64674,22
2.51731,3.0999,-0.643707,22
2.5294,3.07602,-0.641854,22
2.54192,3.05286,-0.640169,22
2.55489,3.03042,-0.638653,22
2.59326,3.03794,-0.643876,22
2.77367,2.94363,-0.652469,22
2.81072,2.94653,-0.657187,22
2.82122,2.92143,-0.655333,22
2.89282,2.95905,-0.668475,22
2.88597,2.91602,-0.66241,22
3.14025,3.13438,-0.719528,22
3.58362,2.89889,-0.749013,22
3.61597,2.88854,-0.752214,22
3.63982,2.87119,-0.753562,22
4.30744,2.83451,-0.842525,22
2.21469,3.54142,-0.725272,22
2.14526,3.12361,-0.654351,22
2.15146,3.09181,-0.650211,22
2.16132,3.06569,-0.647331,22
2.17151,3.04037,-0.64463,22
2.17802,3.01025,-0.64085,22
2.22553,3.0365,-0.649851,22
2.52865,3.11689,-0.695392,22
2.52212,3.07015,-0.688012,22
2.52267,3.03269,-0.682791,22
2.52158,2.99383,-0.677211,22
2.53225,2.96933,-0.675051,22
2.5472,2.95001,-0.674151,22
