x,y,z,cluster
-53.9422,70.0546,-0.675734,0
-39.0877,-61.633,-0.0524172,0
-36.5536,-63.9148,0.0379126,0
65.6744,17.0793,-0.00122741,0
-5.48121,92.3826,0.333937,0
-56.081,-68.9589,1.46037,0
3.94358,-73.5524,2.0871,0
-6.02846,36.0461,-2.35542,0
-8.12818,35.9419,0.470974,0
-39.435,-64.6173,1.14395,0
36.6016,21.8778,-0.573399,0
74.4095,64.0492,-2.30991,0
38.2032,19.4009,4.01377,0
-69.6417,-9.13279,0.776675,0
-39.244,-63.939,-0.226553,0
55.3616,59.3663,-0.915423,0
5.38839,82.3483,-0.0706614,0
-9.99828,35.7523,-0.351131,0
-37.4679,-63.7816,0.515937,0
-4.99939,91.4224,-2.28332,0
39.9524,91.9931,-0.671647,0
4.55675,81.4776,1.90616,0
-5.41417,89.756,0.803192,0
77.4222,63.817,1.28675,0
-23.3237,-58.7661,1.42736,0
-22.8852,-57.4347,-0.380999,0
-58.372,64.1683,2.23451,0
-55.0635,-5.82501,-2.40995,0
50.6136,37.1399,-2.29324,0
74.151,64.3047,-1.83259,0
-5.41509,91.3274,4.04094,0
7.15197,-76.0725,1.70671,0
99.4857,62.1804,-0.787704,0
-41.4679,19.5418,-0.780495,0
-25.5715,89.6998,1.2088,0
7.20825,-75.3646,0.596126,0
-15.5259,86.4878,0.681991,0
-23.5591,-57.4064,-0.812454,0
51.3306,36.6083,-2.24641,0
-70.3797,-10.8992,-0.164761,0
-41.0925,18.8443,1.93012,0
-58.1851,-68.8768,-0.116269,0
-23.3753,-57.3656,0.479768,0
4.50554,-75.7707,0.166555,0
95.7379,4.68068,1.85899,0
-53.7315,-5.55806,0.97816,0
-57.7287,-68.0911,0.341483,0
-56.2903,62.0725,-2.56453,0
-38.1596,-64.5445,0.684807,0
-25.1526,92.0441,0.0369129,0
12.5352,-45.7153,0.494888,0
73.9417,64.2995,0.17005,0
-57.4057,62.7183,1.89612,0
-54.8903,-70.9779,0.747269,0
-5.82265,89.9308,0.919866,0
98.0208,5.94353,-0.378997,0
54.4053,60.2843,-0.534743,0
49.7536,37.8867,-0.472065,0
38.6827,20.3481,-1.71503,0
-54.6793,-6.14038,-1.8421,0
-14.1225,87.6103,2.71058,0
65.3619,14.866,0.91193,0
53.6791,60.7105,1.65099,0
94.1286,4.91948,-0.257432,0
-8.05026,32.2732,0.162354,0
-57.6116,-69.1291,1.35382,0
97.8787,61.9836,1.47789,0
14.8195,-44.2176,-0.993875,0
-56.1622,-7.35379,-1.85798,0
51.3549,36.6659,1.68949,0
-57.6492,-69.7418,2.35962,0
-14.3098,88.6189,-0.335409,0
-39.9692,20.089,1.21955,0
-13.2439,85.3992,-2.33352,0
37.3519,20.2611,0.170499,0
-89.7068,-88.9067,-0.335508,0
97.6227,61.2599,-2.8061,0
-54.6684,-8.24766,0.933677,0
-24.3744,89.8735,-3.53205,0
98.4559,60.0091,2.64377,0
-6.67057,33.4141,-0.658909,0
12.9151,-46.6504,3.14673,0
49.0651,34.603,1.75363,0
-6.93939,34.2672,-0.904186,0
-38.4978,-64.2423,-0.741869,0
96.6393,4.64321,0.285779,0
54.3476,59.3571,2.26219,0
50.0699,37.6904,-3.08731,0
76.459,62.267,-0.854262,0
-16.0034,86.1787,-2.70725,0
12.9248,-47.2454,-4.59755,0
-54.7268,69.7452,0.710387,0
-13.9927,87.4624,-1.69158,0
-89.1095,-90.5501,-0.207187,0
34.4241,-65.4675,-0.734288,0
